Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q4,0.7031,96681
Q3,0.7409,35696
Q2,0.9558,112623
Q3,0.8469,79354
Q4,0.7354,49705
Q4,0.8415,40180
Q4,0.5466,37102
Q2,0.5299,35243
Q4,0.8983,65632
Q3,0.6417,38562
Q4,0.6411,48430
Q2,0.5936,46526
Q4,0.7921,53249
Q4,0.8653,44017
Q4,0.7278,37987
Q2,0.5195,44797
Q4,0.8191,52843
Q4,0.6037,47459
Q4,0.9391,54590
Q3,0.9374,58175
Q4,0.6905,64328
Q4,0.6379,52274
Q2,0.6309,43458
Q4,0.7754,44809
Q3,0.9597,59277
Q2,0.5856,44120
Q3,0.5391,40392
Q2,0.677,43913
Q3,0.7079,40539
Q3,0.607,41315
Q2,0.6459,36917
Q1,0.1943,28841
Q4,0.7542,43573
Q2,0.6358,42092
Q2,0.5636,48709
Q4,0.4199,43294
Q4,0.5474,35298
Q2,0.5218,34703
Q2,0.7293,56293
Q1,0.4695,39128
Q1,0.5005,43412
Q4,0.6703,77432
Q1,0.3778,29231
Q3,0.6531,36194
Q2,0.6853,42033
Q4,0.7554,44047
Q3,0.7899,44781
Q1,0.5088,37445
Q4,0.5988,53584
Q2,0.5799,44860
Q2,0.4154,37333
Q1,0.9344,62027
Q2,0.8126,50137
Q2,0.7216,62106
Q1,0.5463,46193
Q1,0.3849,40995
Q1,0.4656,35323
Q3,0.5811,49169
Q1,0.5645,42445
Q2,0.4884,37866
Q2,0.4151,31979
Q1,0.4788,38904
Q3,0.5301,46146
Q3,0.6469,39162
Q2,0.2571,31363
Q1,0.5189,40269
Q3,0.5669,40533
Q3,0.5928,44044
Q2,0.4599,43299
Q2,0.617,37943
Q4,0.7409,49758
Q4,0.9379,48030
Q3,0.6759,43354
Q2,0.4752,48090
Q3,0.7487,35543
Q3,0.783,47325
Q3,0.6512,46060
Q4,0.9259,40959
Q2,0.5097,45056
Q2,0.459,49771
Q2,0.8426,51092
Q1,0.5065,46771
Q4,0.6333,33820
Q3,0.6471,30259
Q2,0.615,46596
Q1,0.5985,39760
Q2,0.5486,39289
Q3,0.5349,34950
Q3,0.686,39803
Q2,0.3214,28209
Q4,0.8506,47749
Q1,0.4481,43406
Q3,0.7444,56662
Q3,0.6168,47010
Q3,0.8482,43815
Q4,0.6045,36847
Q3,0.6863,52390
Q4,0.8023,56089
Q2,0.636,46704
Q1,0.4807,39166
Q4,0.4919,52848
Q2,0.6077,45279
Q2,0.4544,27087
Q2,0.4667,37094
Q1,0.5135,32534
Q1,0.3901,31541
Q2,0.4368,29441
Q3,0.6809,38423
Q1,0.6668,38763
Q1,0.4583,35208
Q1,0.2739,24183
Q2,0.6534,37704
Q2,0.6419,37538
Q1,0.197,23676
Q1,0.4975,33869
Q1,0.4048,25088
Q1,0.5336,33051
Q2,0.5147,40645
Q3,0.4441,38713
Q1,0.5142,38123
Q2,0.536,29230
Q3,0.4552,34105
Q2,0.5961,32347
Q3,0.5471,33451
Q2,0.6577,38709
Q3,0.4294,33905
Q4,0.5746,28269
Q2,0.4675,40434
Q4,0.7451,47446
Q3,0.3529,35291
Q1,0.3208,33600
Q2,0.2293,33924
Q2,0.7298,46683
Q2,0.5375,43346
Q1,0.6675,65427
Q1,0.5625,41078
Q1,0.7473,39862
Q1,0.5405,37907
Q2,0.5674,29823
